0, 0, 0, 65, 0, 84, 70, 81, 73, 0, 0, 0, 81, 0, 0, 77,
0, 71, 0, 65, 70, 82, 72, 0, 72, 0, 0, 0, 80, 0, 0, 0,
0, 0, 0, 64, 0, 83, 74, 83, 72, 0, 72, 0, 79, 0, 0, 0,
75, 71, 0, 66, 0, 85, 74, 80, 70, 0, 0, 73, 78, 0, 0, 0,
0, 72, 0, 0, 0, 84, 73, 77, 69, 0, 0, 0, 75, 0, 0, 0,
76, 72, 0, 0, 0, 84, 75, 80, 70, 0, 0, 0, 73, 0, 0, 0,
77, 73, 71, 0, 0, 82, 76, 83, 70, 0, 0, 0, 0, 0, 0, 0,
0, 74, 69, 0, 68, 80, 79, 83, 70, 0, 0, 0, 73, 0, 0, 0,
75, 73, 67, 0, 66, 80, 78, 81, 71, 0, 0, 76, 72, 0, 0, 0,
78, 72, 65, 0, 67, 0, 78, 80, 0, 0, 0, 76, 72, 0, 0, 0,
80, 72, 0, 0, 68, 81, 80, 81, 72, 0, 0, 0, 73, 0, 84, 0,
82, 71, 63, 0, 70, 81, 81, 82, 73, 0, 0, 0, 0, 0, 82, 0,
81, 71, 64, 0, 72, 82, 82, 79, 73, 66, 0, 0, 0, 0, 80, 0,
80, 70, 0, 60, 74, 85, 81, 76, 72, 67, 0, 0, 73, 0, 77, 85,
77, 70, 0, 62, 75, 83, 81, 75, 72, 66, 0, 0, 0, 0, 0, 83,
78, 71, 0, 64, 76, 85, 0, 73, 72, 66, 0, 0, 75, 0, 0, 82,
79, 71, 0, 63, 76, 85, 80, 71, 72, 66, 0, 0, 75, 0, 0, 80,
80, 70, 0, 63, 0, 84, 81, 0, 72, 66, 0, 0, 0, 0, 0, 79,
79, 0, 0, 65, 0, 85, 82, 71, 72, 65, 0, 0, 0, 0, 0, 79,
78, 72, 0, 0, 0, 83, 82, 68, 72, 0, 0, 0, 0, 0, 0, 0,
77, 71, 0, 64, 0, 82, 82, 67, 71, 0, 0, 86, 0, 0, 0, 0,
75, 72, 0, 63, 0, 81, 83, 65, 71, 0, 0, 87, 0, 0, 0, 0,
73, 72, 0, 65, 0, 80, 82, 66, 72, 0, 0, 0, 0, 0, 0, 0,
0, 0, 0, 67, 70, 0, 80, 67, 0, 0, 0, 0, 0, 0, 78, 0,
76, 0, 0, 69, 71, 77, 80, 70, 74, 0, 0, 0, 72, 0, 78, 0,
0, 0, 0, 67, 69, 75, 81, 68, 73, 0, 0, 0, 72, 0, 80, 0,
0, 0, 0, 65, 67, 78, 79, 69, 71, 0, 0, 73, 71, 0, 82, 87,
0, 0, 0, 64, 64, 78, 76, 72, 71, 0, 0, 75, 71, 0, 0, 86,
0, 0, 0, 65, 63, 76, 75, 70, 72, 0, 0, 77, 0, 0, 0, 0,
