0.001 sec,,20.0 sec,,60.0 sec,
740.025,75,3240.0,71,9720.0,74
744.002,76,3260.0,70,9780.0,73
748.014,75,3280.0,67,9840.0,82
752.026,74,3300.0,71,9900.0,76
759.001,74,3320.0,77,9960.0,76
759.527,0,3340.0,84,10020.0,81
760.015,75,3360.0,83,10080.0,74
764.025,74,3380.0,79,10140.0,76
768.002,76,3400.0,78,10200.0,76
772.011,77,3420.0,73,10260.0,75
776.027,76,3440.0,79,10320.0,79
780.002,77,3460.0,76,10380.0,80
784.013,76,3480.0,69,10440.0,77
788.033,77,3500.0,64,10500.0,73
792.001,0,3520.0,59,10560.0,68
799.02,0,3540.0,67,10620.0,74
806.032,0,3560.0,71,10680.0,78
813.01,0,3580.0,67,10740.0,80
819.531,0,3600.0,70,10800.0,70
820.014,0,3620.0,76,10860.0,68
824.026,76,3640.0,67,10920.0,73
828.001,75,3660.0,68,10980.0,77
832.02,75,3680.0,74,11040.0,74
836.034,77,3700.0,75,11100.0,76
840.001,76,3720.0,77,11160.0,75
844.014,74,3740.0,79,11220.0,81
851.027,74,3760.0,75,11280.0,75
852.001,75,3780.0,75,11340.0,64
856.01,77,3800.0,68,11400.0,0
860.026,76,3820.0,63,11460.0,68
867.001,76,3840.0,64,11520.0,0
868.014,76,3860.0,70,11580.0,66
875.026,76,3880.0,71,11640.0,0
876.002,78,3900.0,63,11700.0,0
879.526,0,3920.0,66,11760.0,0
880.013,76,3940.0,73,11820.0,0
887.027,76,3960.0,81,11880.0,0
892.016,75,3980.0,84,11940.0,87
896.033,74,4000.0,79,12000.0,88
900.002,76,4020.0,77,12060.0,88
904.012,74,4040.0,75,12120.0,90
908.026,75,4060.0,80,12180.0,83
912.001,76,4080.0,77,12240.0,84
916.014,75,4100.0,70,12300.0,78
923.028,75,4120.0,72,12360.0,83
924.001,77,4140.0,80,12420.0,75
928.013,76,4160.0,72,12480.0,92
932.027,74,4180.0,72,12540.0,93
936.001,76,4200.0,74,12600.0,100
939.565,0,4220.0,72,12660.0,101
940.02,75,4240.0,69,12720.0,95
944.025,73,4260.0,71,12780.0,97
948.0,74,4280.0,70,12840.0,91
952.013,71,4300.0,71,12900.0,88
952.652,71,4320.0,76,12960.0,75
956.025,0,4340.0,79,13020.0,68
957.263,0,4360.0,71,13080.0,0
964.015,0,4380.0,72,13140.0,0
971.028,0,4400.0,62,13200.0,85
978.001,0,4420.0,63,13260.0,93
985.012,0,4440.0,68,13320.0,98
991.013,69,4460.0,72,13380.0,84
995.027,68,4480.0,74,13440.0,0
999.004,0,4500.0,70,13500.0,86
999.528,0,4520.0,74,13560.0,96
1006.014,0,4540.0,70,13620.0,101
1013.027,0,4560.0,62,13680.0,74
1020.001,0,4580.0,63,13740.0,72
1023.002,71,4600.0,69,13800.0,74
1027.013,73,4620.0,64,13860.0,73
1031.025,72,4640.0,65,13920.0,77
1035.002,70,4660.0,67,13980.0,72
1035.677,70,4680.0,75,14040.0,68
1039.014,0,4700.0,74,14100.0,57
1040.289,0,4720.0,80,14160.0,55
1047.002,0,4740.0,73,14220.0,65
1054.014,0,4760.0,71,14280.0,69
1059.527,0,4780.0,71,14340.0,69
1061.035,0,4800.0,0,14400.0,74
1063.014,73,4820.0,0,14460.0,75
1067.026,75,4840.0,68,14520.0,71
1071.001,74,4860.0,60,14580.0,74
1075.012,75,4880.0,53,14640.0,71
1079.025,76,4900.0,55,14700.0,72
1083.002,74,4920.0,57,14760.0,75
1085.103,74,4940.0,56,14820.0,73
1087.015,75,4960.0,58,14880.0,70
1089.676,75,4980.0,58,14940.0,70
1091.028,72,5000.0,57,15000.0,72
1095.006,74,5020.0,58,15060.0,73
1099.014,77,5040.0,59,15120.0,69
1103.027,79,5060.0,59,15180.0,71
1107.001,79,5080.0,0,15240.0,76
1111.014,81,5100.0,59,15300.0,70
1115.025,80,5120.0,59,15360.0,73
1119.002,80,5140.0,61,15420.0,70
1119.528,0,5160.0,61,15480.0,73
1123.014,78,5180.0,59,15540.0,73
1127.028,75,5200.0,60,15600.0,102
1131.002,74,5220.0,62,15660.0,0
1138.013,74,5240.0,62,15720.0,0
1138.5,74,5260.0,0,15780.0,0
1139.027,75,5280.0,0,15840.0,79
1142.552,75,5300.0,66,15900.0,90
1143.002,0,5320.0,67,15960.0,0
1147.013,76,5340.0,0,16020.0,0
1151.027,0,5360.0,0,16080.0,0
1152.527,0,5380.0,0,16140.0,0
1155.002,78,5400.0,0,16200.0,0
1157.175,78,5420.0,0,16260.0,0
1159.019,80,5440.0,0,16320.0,0
1163.028,0,5460.0,110,16380.0,0
1170.001,0,5480.0,0,16440.0,0
1175.027,70,5500.0,0,16500.0,0
1179.009,68,5520.0,0,16560.0,0
1179.525,0,5540.0,0,16620.0,0
1183.015,67,5560.0,116,#SAKNAS,#SAKNAS
1187.027,65,5580.0,0,#SAKNAS,#SAKNAS
1191.002,66,5600.0,112,#SAKNAS,#SAKNAS
1195.014,64,5620.0,0,#SAKNAS,#SAKNAS
1199.026,66,5640.0,113,#SAKNAS,#SAKNAS
1203.0,67,5660.0,0,#SAKNAS,#SAKNAS
1207.014,69,5680.0,0,#SAKNAS,#SAKNAS
1211.027,69,5700.0,0,#SAKNAS,#SAKNAS
1215.008,71,5720.0,0,#SAKNAS,#SAKNAS
1219.014,70,5740.0,0,#SAKNAS,#SAKNAS
1223.025,69,5760.0,0,#SAKNAS,#SAKNAS
1227.001,69,5780.0,109,#SAKNAS,#SAKNAS
1231.014,70,5800.0,0,#SAKNAS,#SAKNAS
1235.026,72,5820.0,0,#SAKNAS,#SAKNAS
1239.008,74,5840.0,0,#SAKNAS,#SAKNAS
1239.524,0,5860.0,0,#SAKNAS,#SAKNAS
1243.012,73,5880.0,0,#SAKNAS,#SAKNAS
1247.028,74,5900.0,0,#SAKNAS,#SAKNAS
1250.999,72,5920.0,0,#SAKNAS,#SAKNAS
1255.012,71,5940.0,0,#SAKNAS,#SAKNAS
1259.027,0,5960.0,68,#SAKNAS,#SAKNAS
1266.008,0,5980.0,75,#SAKNAS,#SAKNAS
1273.018,0,6000.0,80,#SAKNAS,#SAKNAS
1280.034,0,6020.0,70,#SAKNAS,#SAKNAS
1287.005,70,6040.0,71,#SAKNAS,#SAKNAS
1294.014,70,6060.0,81,#SAKNAS,#SAKNAS
1299.002,69,6080.0,75,#SAKNAS,#SAKNAS
1299.524,0,6100.0,74,#SAKNAS,#SAKNAS
1306.02,69,6120.0,81,#SAKNAS,#SAKNAS
1307.027,69,6140.0,73,#SAKNAS,#SAKNAS
1311.002,67,6160.0,68,#SAKNAS,#SAKNAS
1315.014,68,6180.0,70,#SAKNAS,#SAKNAS
1319.025,68,6200.0,71,#SAKNAS,#SAKNAS
1323.001,67,6220.0,71,#SAKNAS,#SAKNAS
1327.016,70,6240.0,0,#SAKNAS,#SAKNAS
1331.026,0,6260.0,78,#SAKNAS,#SAKNAS
1331.064,0,6280.0,70,#SAKNAS,#SAKNAS
1338.001,0,6300.0,74,#SAKNAS,#SAKNAS
1339.202,0,6320.0,76,#SAKNAS,#SAKNAS
1346.024,0,6340.0,0,#SAKNAS,#SAKNAS
1353.002,0,6360.0,0,#SAKNAS,#SAKNAS
1359.523,0,6380.0,0,#SAKNAS,#SAKNAS
1360.014,0,6400.0,0,#SAKNAS,#SAKNAS
1367.027,75,6420.0,0,#SAKNAS,#SAKNAS
1371.002,0,6440.0,0,#SAKNAS,#SAKNAS
1378.014,0,6460.0,0,#SAKNAS,#SAKNAS
1379.031,68,6480.0,0,#SAKNAS,#SAKNAS
1383.001,0,6500.0,0,#SAKNAS,#SAKNAS
1390.015,0,6520.0,0,#SAKNAS,#SAKNAS
1391.024,68,6540.0,0,#SAKNAS,#SAKNAS
1395.002,69,6560.0,0,#SAKNAS,#SAKNAS
1399.016,71,6580.0,0,#SAKNAS,#SAKNAS
1403.027,73,6600.0,0,#SAKNAS,#SAKNAS
1407.001,75,6620.0,0,#SAKNAS,#SAKNAS
1411.013,76,6640.0,0,#SAKNAS,#SAKNAS
1415.034,76,6660.0,0,#SAKNAS,#SAKNAS
1419.008,77,6680.0,0,#SAKNAS,#SAKNAS
1419.524,0,6700.0,0,#SAKNAS,#SAKNAS
1423.02,76,6720.0,0,#SAKNAS,#SAKNAS
1427.032,75,6740.0,0,#SAKNAS,#SAKNAS
1430.891,76,6760.0,0,#SAKNAS,#SAKNAS
1435.014,74,6780.0,0,#SAKNAS,#SAKNAS
1435.427,74,6800.0,0,#SAKNAS,#SAKNAS
1439.027,75,6820.0,0,#SAKNAS,#SAKNAS
1443.004,0,6840.0,0,#SAKNAS,#SAKNAS
1443.639,0,6860.0,0,#SAKNAS,#SAKNAS
1447.727,0,6880.0,0,#SAKNAS,#SAKNAS
1454.027,0,6900.0,0,#SAKNAS,#SAKNAS
1461.001,0,6920.0,0,#SAKNAS,#SAKNAS
1468.013,0,6940.0,0,#SAKNAS,#SAKNAS
1475.027,77,6960.0,0,#SAKNAS,#SAKNAS
1479.001,77,6980.0,0,#SAKNAS,#SAKNAS
1479.523,0,7000.0,0,#SAKNAS,#SAKNAS
1483.015,79,7020.0,0,#SAKNAS,#SAKNAS
1487.027,80,7040.0,0,#SAKNAS,#SAKNAS
1491.001,81,7060.0,0,#SAKNAS,#SAKNAS
1498.014,81,7080.0,0,#SAKNAS,#SAKNAS
1499.025,79,7100.0,0,#SAKNAS,#SAKNAS
1503.001,81,7120.0,0,#SAKNAS,#SAKNAS
1507.014,79,7140.0,0,#SAKNAS,#SAKNAS
1511.034,77,7160.0,0,#SAKNAS,#SAKNAS
1515.007,74,7180.0,0,#SAKNAS,#SAKNAS
1519.012,75,7200.0,0,#SAKNAS,#SAKNAS
1523.035,76,7220.0,0,#SAKNAS,#SAKNAS
1527.007,75,7240.0,0,#SAKNAS,#SAKNAS
1531.014,76,7260.0,0,#SAKNAS,#SAKNAS
1535.026,76,7280.0,0,#SAKNAS,#SAKNAS
1539.002,77,7300.0,0,#SAKNAS,#SAKNAS
1539.524,0,7320.0,0,#SAKNAS,#SAKNAS
1543.015,75,7340.0,0,#SAKNAS,#SAKNAS
1547.027,74,7360.0,0,#SAKNAS,#SAKNAS
1551.002,71,7380.0,0,#SAKNAS,#SAKNAS
1555.014,68,7400.0,0,#SAKNAS,#SAKNAS
1559.027,70,7420.0,0,#SAKNAS,#SAKNAS
1563.002,68,7440.0,0,#SAKNAS,#SAKNAS
1567.013,69,7460.0,0,#SAKNAS,#SAKNAS
1571.026,70,7480.0,0,#SAKNAS,#SAKNAS
