<1h,1-3h,3-6h,>6h
20.41,101.87,3.22,1.0
29.89,88.35,13.88,29.72
21.18,73.51,119.79,4.38
3.14,74.43,30.05,9.78
46.48,105.7,115.57,55.27
100.79,90.42,21.62,47.07
16.67,84.08,54.08,38.73
27.91,43.92,25.53,1.14
16.78,26.61,79.89,9.64
5.9,100.85,31.26,11.15
24.34,59.49,44.13,16.86
91.71,94.36,22.35,0.64
2.64,55.38,92.1,31.86
40.8,67.61,49.95,18.05
90.95,9.24,113.74,21.44
33.5,46.88,27.84,19.42
52.67,13.12,78.72,6.8
35.97,1.95,73.98,19.59
107.03,26.82,87.37,9.2
16.09,55.37,56.49,17.85
53.32,33.55,57.57,11.74
20.56,37.12,21.94,14.52
66.92,160.42,6.16,27.74
34.89,79.48,18.45,1.47
44.98,3.8,85.02,11.47
5.5,135.33,62.97,0.56
23.09,35.13,21.91,12.89
158.99,136.01,88.49,10.73
16.67,83.02,27.83,3.4
0.61,52.03,74.44,2.32
19.38,13.33,108.53,36.06
40.71,12.65,30.19,10.75
44.82,41.58,107.23,10.5
26.55,27.47,48.18,8.28
17.8,70.34,160.97,16.22
43.87,139.79,19.13,28.01
12.9,6.76,18.58,1.63
84.52,58.18,108.86,7.26
64.41,47.1,1.4,36.29
0.5,6.03,39.31,4.03
0.91,4.65,19.46,5.17
17.43,65.7,97.54,14.16
21.32,17.12,33.53,3.44
28.29,22.63,134.86,16.15
2.28,123.67,109.08,17.6
47.51,102.12,25.92,4.26
1.54,7.97,40.61,3.98
60.91,50.48,25.49,9.63
4.19,34.78,59.97,33.73
67.7,76.74,108.19,12.84
1.06,47.79,99.65,4.72
14.15,102.52,3.58,3.69
0.38,92.47,36.81,4.08
133.92,130.0,12.6,4.43
43.72,48.09,130.21,0.89
12.74,31.65,4.05,4.51
0.83,32.09,119.06,6.75
10.55,31.14,12.41,24.33
70.31,143.55,6.06,14.8
20.9,42.9,34.09,14.74
78.43,47.02,44.58,0.84
22.46,21.84,102.55,0.42
25.48,12.15,82.99,4.94
88.97,107.43,45.93,18.05
29.68,19.08,39.5,49.21
9.37,2.25,32.1,3.77
118.64,30.98,53.76,3.02
8.65,112.24,31.63,41.58
13.79,9.77,152.4,33.49
8.46,41.82,113.46,18.74
1.61,90.5,74.86,12.25
11.69,104.75,90.57,20.4
67.28,28.7,7.73,18.71
2.16,42.15,185.85,26.82
15.63,41.84,13.35,6.99
85.8,103.57,106.0,14.91
82.37,63.45,55.72,12.26
21.89,144.87,79.14,13.36
1.38,61.89,35.88,27.75
2.87,111.89,77.83,1.95
73.85,49.53,15.52,4.44
37.86,38.1,99.84,11.37
5.48,32.82,112.6,10.62
17.52,35.28,20.24,7.19
9.42,49.16,26.8,8.33
59.55,57.67,22.5,0.13
45.55,36.71,52.25,3.56
6.45,41.26,108.32,2.37
99.49,13.66,64.55,12.28
11.37,44.16,27.99,10.39
67.45,15.64,4.12,11.96
27.69,14.78,6.77,19.83
58.71,98.23,25.01,42.57
43.68,43.76,14.59,27.14
69.85,20.69,42.8,12.68
11.45,129.0,161.6,0.87
37.34,25.23,30.63,4.79
2.94,42.18,77.07,15.68
45.5,25.55,62.93,9.55
73.38,46.41,89.37,29.98
66.41,31.23,49.23,15.93
55.77,37.8,132.63,18.15
37.16,12.1,86.72,15.37
61.21,10.92,39.79,18.54
61.72,32.38,8.8,20.64
44.17,14.37,21.65,16.26
76.71,2.77,1.8,13.33
29.38,40.2,89.8,6.88
5.37,12.59,34.98,31.59
55.83,52.75,42.36,31.33
13.66,2.7,65.16,13.95
27.01,73.67,34.89,18.34
0.5,58.53,38.79,4.48
61.69,28.55,67.59,11.5
0.37,46.77,67.74,16.07
53.45,14.32,8.43,8.99
10.53,45.47,38.18,13.2
9.52,70.56,61.5,6.35
25.0,79.14,24.73,3.52
109.73,59.08,31.21,8.46
18.44,10.42,16.38,0.49
