<1h,1-3h,3-6h,>6h
13.96,1.21,28.82,32.6
0.01,12.43,4.42,250.38
0.01,11.27,19.13,31.57
0.01,7.6,26.88,43.43
13.23,11.31,11.43,8.25
0.26,7.3,16.58,273.1
5.87,5.09,6.09,204.24
6.02,5.33,9.06,45.3
1.49,2.08,3.01,45.53
2.33,0.55,14.09,57.77
4.46,2.87,9.45,65.43
5.06,8.58,13.83,15.79
5.55,4.36,30.24,131.36
4.83,2.75,7.26,20.96
32.48,14.56,6.81,531.44
1.04,16.92,12.11,225.31
0.12,4.72,23.08,34.57
0.01,13.26,7.66,57.31
0.01,8.9,22.94,30.44
0.01,8.57,10.27,36.39
0.01,3.64,15.14,385.43
0.01,15.24,23.11,42.7
21.18,6.74,1.2,44.06
0.01,0.28,14.37,253.23
0.01,3.91,2.36,412.85
7.66,0.76,3.58,20.74
0.01,10.58,14.81,282.71
15.79,3.2,2.09,44.13
2.21,4.31,2.46,10.98
1.1,12.7,3.23,198.57
3.65,16.15,5.52,43.64
0.83,13.65,2.77,70.3
0.72,3.37,1.09,54.48
5.86,2.09,12.69,531.13
0.4,32.57,13.13,23.9
2.72,23.49,21.52,64.8
2.77,25.17,7.24,57.65
0.26,24.58,8.57,303.19
0.01,36.41,9.55,433.35
0.01,29.6,12.67,34.48
0.01,6.89,5.65,457.54
1.17,19.35,1.88,330.74
0.76,19.17,14.89,25.53
1.02,24.64,8.67,245.04
1.48,17.67,13.34,202.19
25.54,17.61,8.19,189.22
3.01,13.29,1.74,122.49
0.01,23.87,5.16,129.0
0.01,5.22,6.81,474.86
13.11,16.4,11.56,25.68
27.24,35.15,2.5,45.96
0.79,14.44,10.44,417.83
14.83,1.22,4.68,98.13
2.55,15.08,4.99,75.82
0.16,19.45,30.65,68.47
1.97,1.53,21.58,12.34
1.03,17.67,8.06,59.05
0.02,20.78,8.24,10.19
3.33,28.98,9.93,18.89
0.01,14.19,18.22,0.42
0.01,11.52,13.21,518.59
0.01,14.22,35.6,29.9
0.01,6.2,23.09,161.2
0.01,15.95,26.58,25.08
4.36,12.85,37.73,26.06
0.01,11.09,5.55,153.53
0.16,32.45,0.08,476.03
2.21,26.35,1.0,31.19
3.07,26.05,9.04,26.22
8.71,6.05,22.19,5.18
8.44,32.89,35.23,40.96
0.12,31.11,23.13,347.2
2.58,18.94,3.38,225.76
1.13,16.75,7.41,66.31
1.68,18.1,12.55,68.11
7.01,16.08,1.51,496.98
2.89,3.58,14.74,16.21
0.13,10.63,0.63,55.65
4.42,24.66,12.53,48.91
1.87,8.11,16.08,252.99
0.76,28.66,19.94,6.07
1.48,1.88,1.29,48.23
0.45,6.74,1.8,495.39
0.22,8.53,1.12,516.79
0.19,12.85,5.24,69.46
8.62,8.26,0.45,0.2
0.36,7.95,16.42,12.25
1.13,12.16,14.93,29.66
1.02,6.53,0.93,67.78
0.92,7.93,4.65,516.73
1.76,6.22,6.96,495.62
0.01,2.23,9.56,42.26
0.52,18.49,11.11,335.23
0.14,0.43,13.83,20.23
3.96,12.99,7.58,2.69
0.18,4.37,10.91,51.36
6.05,1.3,18.66,47.49
0.01,5.49,15.23,28.36
0.01,2.4,9.25,251.99
5.2,1.12,21.02,291.43
0.01,0.36,1.08,516.31
4.94,7.56,7.39,112.38
0.01,34.0,15.17,468.24
0.01,3.91,15.25,60.07
0.03,7.09,4.74,1.99
0.41,13.69,10.97,26.52
0.8,2.02,5.56,23.26
0.69,0.38,8.03,19.97
3.21,0.41,6.11,64.2
0.05,5.3,2.4,50.11
0.48,3.76,7.67,0.7
1.64,10.57,15.65,9.44
1.99,3.49,11.67,50.32
1.96,0.44,4.97,530.09
0.01,9.72,2.11,115.13
1.17,4.78,7.4,15.98
3.42,14.03,4.27,0.9
0.01,5.12,5.49,30.46
0.01,0.77,0.6,0.62
3.31,9.51,0.94,194.2
1.06,6.24,10.56,7.53
4.27,12.12,3.84,71.61
1.33,0.51,4.44,38.09
0.01,5.5,5.69,7.08
0.8,18.78,3.62,398.71
0.01,9.52,5.09,21.47
0.01,10.0,6.15,462.96
1.31,11.68,7.08,306.14
0.01,21.32,13.3,52.19
3.62,14.7,2.68,73.12
0.97,3.4,9.41,205.76
0.01,0.58,8.23,60.72
0.01,0.35,24.95,426.24
0.01,3.25,10.12,50.33
5.8,4.09,2.87,86.21
0.71,8.45,13.29,37.1
0.9,14.75,13.49,12.0
3.6,1.03,9.04,56.44
0.83,1.79,1.42,51.14
