<1h,1-3h,3-6h,>6h
34.91, 42.94, 60.37, 303.78
15.6, 29.75, 56.18, 92.86
68.16, 150.19, 122.9, 83.26
49.17, 97.34, 113.67, 317.35
18.11, 49.37, 68.6, 175.52
69.44, 54.1, 76.95, 91.23
36.47, 53.18, 8.23, 148.44
72.49, 3.06, 184.77, 59.68
27.66, 29.11, 9.7, 36.84
154.78, 0.96, 29.69, 118.44
8.46, 14.91, 6.62, 456.22
30.23, 41.64, 75.02, 56.74
28.42, 15.04, 105.56, 123.63
3.65, 56.11, 9.12, 331.52
12.03, 31.2, 17.63, 41.85
7.69, 47.98, 150.45, 71.01
15.49, 24.13, 20.81, 157.13
31.0, 50.23, 25.97, 14.77
15.58, 28.74, 30.5, 129.08
30.85, 15.57, 13.04, 117.84
41.0, 26.08, 37.23, 11.52
21.04, 3.28, 113.0, 141.99
37.08, 33.73, 37.66, 27.11
16.72, 13.76, 54.17, 4.16
39.77, 25.78, 107.95, 13.93
120.98, 61.0, 13.83, 179.87
27.97, 179.12, 14.63, 12.35
3.93, 78.67, 35.09, 81.96
29.82, 5.3, 137.21, 98.88
16.25, 9.88, 43.9, 27.33
17.2, 78.46, 79.04, 4.74
6.66, 45.39, 224.65, 144.77
7.25, 19.84, 185.82, 54.72
43.5, 86.09, 22.34, 162.29
10.94, 9.51, 51.55, 35.01
12.64, 43.03, 38.49, 56.33
30.17, 1.22, 105.0, 88.22
17.38, 1.07, 56.96, 10.03
13.87, 7.68, 77.2, 31.53
16.5, 83.62, 87.76, 224.15
43.73, 0.2, 34.26, 144.4
146.01, 12.57, 34.01, 11.26
56.59, 156.75, 77.83, 67.96
13.88, 1.16, 38.26, 8.1
33.26, 62.6, 21.08, 34.15
6.59, 50.03, 90.62, 46.9
23.17, 32.61, 7.52, 310.59
25.19, 44.89, 2.71, 68.04
81.57, 46.59, 7.45, 43.78
12.98, 2.3, 10.72, 5.76
197.12, 62.94, 63.88, 252.65
15.31, 52.31, 1.33, 2.45
1.42, 16.32, 134.57, 67.95
61.2, 17.71, 47.16, 5.41
17.35, 10.62, 73.34, 330.47
7.74, 13.08, 38.27, 75.5
113.69, 2.64, 45.41, 351.67
3.89, 11.21, 69.38, 24.88
18.57, 18.83, 14.41, 71.35
5.98, 39.8, 58.53, 40.07
51.13, 22.01, 26.09, 5.5
22.38, 49.09, 152.83, 103.4
13.92, 7.75, 6.87, 233.12
10.87, 84.63, 97.06, 324.46
9.16, 16.47, 34.49, 390.94
79.49, 42.59, 40.94, 74.88
60.56, 109.12, 101.49, 49.91
27.02, 33.88, 190.94, 28.75
9.74, 22.34, 45.7, 53.5
81.91, 38.54, 3.02, 63.99
28.32, 20.09, 195.55, 41.49
22.4, 28.0, 51.59, 3.59
16.89, 9.03, 89.05, 76.32
71.28, 28.24, 15.98, 54.53
76.07, 39.52, 10.14, 97.47
67.32, 34.78, 83.27, 59.57
27.2, 23.84, 16.82, 67.42
4.27, 64.92, 27.9, 255.22
75.59, 8.81, 79.62, 49.46
37.3, 36.2, 14.88, 74.23
11.71, 27.67, 35.13, 14.18
22.3, 15.16, 31.29, 497.6
11.4, 26.73, 215.62, 1.31
18.51, 28.96, 40.0, 84.35
26.95, 19.11, 24.06, 22.54
33.13, 26.64, 26.32, 115.01
36.95, 32.02, 92.96, 24.49
25.79, 30.26, 24.07, 30.83
19.82, 9.72, 2.07, 267.31
38.5, 20.78, 28.58, 53.64
10.59, 18.01, 77.39, 39.78
32.36, 10.82, 11.15, 229.33
31.52, 3.49, 85.87, 81.11
30.39, 3.54, 243.88, 388.59
32.12, 16.15, 21.58, 29.97
7.87, 6.74, 14.36, 35.08
15.67, 25.77, 9.05, 19.23
18.6, 12.53, 3.96, 265.59
23.03, 30.33, 73.44, 33.49
33.18, 9.23, 34.02, 91.25
26.62, 48.31, 45.26, 86.19
12.22, 31.1, 51.87, 51.15
28.44, 16.91, 6.23, 165.73
67.77, 4.13, 22.47, 219.53
71.96, 42.57, 44.19, 146.31
32.49, 5.42, 10.62, 50.25
102.72, 22.75, 40.72, 9.84
48.75, 48.2, 22.84, 82.59
2.19, 32.38, 72.42, 47.37
22.85, 27.0, 18.32, 11.01
52.5, 22.59, 30.02, 78.77
35.14, 12.24, 53.07, 73.82
31.04, 18.25, 3.11, 140.9
63.71, 0.54, 22.14, 70.69
57.99, 9.39, 205.52, 65.33
40.99, 34.15, 43.43, 16.95
53.67, 3.67, 198.85, 70.05
23.88, 13.18, 15.86, 25.91
37.43, 9.74, 73.47, 407.17
25.82, 29.27, 45.24, 36.54
25.32, 23.31, 42.37, 4.62
21.78, 27.42, 12.03, 20.5
22.16, 97.79, 25.42, 83.06
15.54, 28.67, 3.12, 41.65
63.82, 20.71, 99.73, 92.52
26.07, 7.27, 49.02, 170.78
34.63, 7.73, 0.91, 160.37
2.74, 7.79, 93.55, 10.2
19.91, 14.33, 134.48, 374.41
27.73, 21.46, 20.86, 71.15
10.57, 6.22, 19.97, 83.83
18.75, 38.77, 5.59, 17.11
17.08, 16.68, 3.01, 51.26
6.28, 60.1, 262.03, 378.58
17.23, 74.49, 8.46, 67.04
13.91, 17.55, 10.38, 10.67
5.95, 19.31, 24.14, 50.87
20.01, 27.58, 68.26, 8.2
8.81, 17.2, 15.35, 142.17
13.0, 8.57, 0.77, 121.33
26.85, 4.45, 124.05, 27.24
38.7, 26.34, 6.09, 210.14
36.68, 18.18, 141.61, 86.01
45.6, 16.14, 15.08, 147.21
67.35, 0.64, 47.67, 247.99
25.88, 23.88, 10.13, 85.57
9.62, 50.86, 0.58, 178.3
26.45, 12.77, 100.98, 37.74
13.8, 27.59, 26.11, 51.47
12.96, 10.39, 0.99, 92.67
60.29, 17.57, 14.98, 105.45
10.1, 7.1, 18.72, 17.64
12.9, 21.12, 122.97, 316.65
6.98, 35.93, 41.71, 570.53
34.06, 27.9, 12.1, 43.49
55.49, 25.65, 8.39, 30.7
6.31, 1.15, 25.56, 126.06
5.21, 12.2, 152.35, 229.06
10.0, 20.55, 14.68, 43.36
41.55, 0.05, 145.5, 2.16
7.89, 25.43, 37.81, 52.73
4.24, 5.98, 82.91, 31.04
18.11, 10.28, 6.81, 13.6
22.01, 36.05, 47.94, 67.97
15.32, 0.94, 41.56, 126.79
16.16, 3.99, 9.93, 12.96
7.18, 17.5, 1.18, 5.77
7.54, 26.34, 5.69, 19.62
2.48, 36.06, 37.78, 80.37
26.0, 26.02, 26.15, 68.73
11.38, 2.97, 9.22, 8.35
22.59, 30.3, 11.89, 95.08
34.05, 105.76, 80.33, 26.75
32.77, 6.15, 7.89, 52.52
7.1, 4.04, 12.8, 67.98
11.57, 18.72, 78.9, 47.02
14.46, 13.22, 31.06, 415.53
14.8, 24.23, 63.28, 8.92
5.8, 9.5, 58.6, 14.44
1.98, 2.34, 110.29, 256.35
12.08, 6.73, 61.21, 5.12
8.98, 43.01, 14.81, 128.59
25.82, 7.99, 20.12, 82.75
51.34, 28.88, 9.31, 19.13
39.23, 2.41, 21.03, 13.39
2.68, 24.3, 17.74, 7.52
23.04, 10.82, 5.1, 3.85
7.3, 38.78, 20.2, 3.73
4.48, 1.31, 4.09, 262.46
15.61, 17.17, 14.47, 59.82
47.74, 15.59, 11.96, 29.13
30.06, 9.52, 24.92, 34.81
9.81, 4.39, 156.22, 174.94
10.53, 13.09, 48.76, 36.45
10.35, 8.16, 45.59, 64.64
19.26, 22.34, 99.59, 332.0
21.77, 27.11, 55.64, 27.88
28.04, 3.0, 60.25, 90.86
